date,close,ema200,fg_value,slope_pct,regime
2024-10-24,94077000.0,83922587.0,69.0,1.2827,BULL
2024-10-25,93762000.0,84020492.0,72.0,1.3875,BULL
2024-10-26,93993000.0,84119721.0,,1.487,BULL
2024-10-27,94819000.0,84226181.0,74.0,1.6026,BULL
2024-10-28,97401000.0,84357274.0,72.0,1.7456,BULL
2024-10-29,101305000.0,84525908.0,72.0,1.9554,BULL
2024-10-30,100571000.0,84685561.0,77.0,2.1574,BULL
2024-10-31,98112000.0,84819157.0,77.0,2.2995,BULL
2024-11-01,97285000.0,84943195.0,75.0,2.424,BULL
2024-11-02,97205000.0,85065203.0,72.0,2.5481,BULL
2024-11-03,95883000.0,85172843.0,74.0,2.6078,BULL
2024-11-04,94289000.0,85263551.0,70.0,2.6237,BULL
2024-11-05,96170000.0,85372073.0,70.0,2.6495,BULL
2024-11-06,104085000.0,85558271.0,70.0,2.7682,BULL
2024-11-07,104115000.0,85742915.0,77.0,2.8661,BULL
2024-11-08,106843000.0,85952866.0,75.0,2.9954,BULL
2024-11-09,106294000.0,86155266.0,75.0,3.1095,BULL
2024-11-10,111440000.0,86406855.0,78.0,3.3047,BULL
2024-11-11,124503000.0,86785921.0,76.0,3.6441,BULL
2024-11-12,124967000.0,87165833.0,80.0,3.991,BULL
2024-11-13,128111000.0,87573247.0,84.0,4.35,EUPHORIA
2024-11-14,123572000.0,87931444.0,88.0,4.6548,EUPHORIA
2024-11-15,128236000.0,88332484.0,80.0,5.0081,BULL
2024-11-16,127071000.0,88717942.0,86.0,5.333,EUPHORIA
